Winery,Year,Wine ID,Wine,Rating,num_review,Country,Region,Price
Dalla Cia,2017,5447137,Private Blend 2017,3.6,43,south-africa,western-cape,9.0
Nyakas,2021,1147707,Budai Irsai Olivér 2021,3.8,91,hungary,etyek-buda,9.0
La Purisima,2019,2283507,Monastrell 2019,3.5,152,spain,yecla,9.0
Wittmann,2019,7139613,100 Hügel Rosé Trocken 2019,3.6,36,germany,rheinhessen,9.0
Château de Ricaud,2019,1710956,Bordeaux Blanc 2019,3.8,110,france,bordeaux,9.04
Kaiken,2019,7632063,Estate Malbec 2019,3.8,2259,argentina,mendoza,9.05
De Moya,2020,2766217,Justina 2020,3.8,29,spain,comunitat-valenciana,9.05
Zuccardi,2021,1277166,Vida Orgánica Malbec 2021,3.4,36,argentina,mendoza,9.07
Heim,2019,1915435,Impérial Pinot Blanc 2019,3.7,54,france,alsace,9.07
Zuccardi,2020,1227103,Vida Orgánica Chardonnay 2020,3.6,47,argentina,mendoza,9.07
Win,N.V.,2608679,Verdejo Frizzante N.V.,3.4,93,spain,,9.1
Duchessa Lia,2020,1208375,Barbera d'Asti 2020,3.3,133,italy,barbera-dasti,9.1
Le Paradou,2020,9847054,Cinsault 2020,3.7,56,france,vin-de-pays-de-mediterranee,9.1
Boekenhoutskloof,2017,1128584,The Wolftrap Rosé 2017,3.4,38,south-africa,franschhoek,9.13
Boekenhoutskloof,2020,1128584,The Wolftrap Rosé 2020,3.4,33,south-africa,franschhoek,9.13
Boekenhoutskloof,2019,1154329,The Wolftrap White Blend 2019,3.5,342,south-africa,franschhoek,9.13
Les Vignerons de Buzet,2018,1324316,Château du Bouchet Buzet 2018,3.2,42,france,buzet,9.15
Weingut R&A Pfaffl,2021,3978878,Zweigelt vom Haus 2021,3.9,40,austria,niederosterreich,9.15
Caparzo,2019,77499,Sangiovese Toscana 2019,3.9,3568,italy,tuscany,9.17
Caparzo,2020,77499,Sangiovese Toscana 2020,3.7,45,italy,tuscany,9.17
Vigneti del Salento,2018,2549198,Primitivo - Merlot Zolla 2018,4.0,731,italy,puglia,9.2
Aurelie Vic,2020,2008677,La Balade Minervois 2020,4.1,66,france,minervois,9.2
Masciarelli,2021,1255672,Rosato Colline Teatine 2021,3.3,29,italy,colline-teatine,9.21
Vignobles Meyre,2016,6571661,Château La Fleur Bibian Listrac-Médoc 2016,3.7,35,france,listrac,9.21
Villiera,2018,1251346,Down to Earth Red (Touriga Nacional - Shiraz) 2018,3.4,56,south-africa,stellenbosch,9.22
Aristocratico,2020,3960464,Appassimento 2020,4.0,1095,italy,lecce,9.22
Montes,2019,1268490,Reserva Merlot (Classic) 2019,3.7,669,chile,colchagua-valley,9.24
Joao Portugal Ramos,2020,1169767,Reserva Tinto 2020,3.7,202,portugal,alentejo,9.24
Montes,2020,71374,Reserva Cabernet Sauvignon (Classic) 2020,3.8,697,chile,colchagua-valley,9.24
Joao Portugal Ramos,2019,1169767,Reserva Tinto 2019,3.8,371,portugal,alentejo,9.24
Hacienda El Espino,2020,8721094,Garnacha Tintorera Organic 2020,3.3,302,spain,almansa,9.24
Colle Corviano,2020,5131192,Montepulciano d'Abruzzo 2020,3.8,68,italy,montepulciano-dabruzzo,9.25
Salentein,2018,1539157,Portillo Tempranillo 2018,3.4,216,argentina,valle-de-uco,9.25
Sonoroso,2018,8737426,Dark 2018,4.0,107,italy,vigneti-delle-dolomiti,9.25
Feudo Arancio,2020,1191231,Dalila Riserva 2020,4.0,146,italy,sicilia,9.25
Pierrick Harang,2020,2528782,Le Bio Balthazar Minervois Syrah - Grenache Noir 2020,3.6,115,france,minervois,9.25
D'Alamel,2018,6404750,Reserva Chardonnay 2018,3.6,107,chile,central-valley,9.25
La Carraia,2020,82606,Sangiovese Umbria 2020,3.7,94,italy,umbria,9.25
Clavel,2019,1244031,Les Garrigues Coteaux du Languedoc 2019,3.8,104,france,languedoc,9.25
Paul Mas,2020,6937140,Vignes de Nicole Rouge 2020,3.9,192,france,vin-de-pays-doc,9.25
Saint Peyre,2021,1233598,Chardonnay 2021,4.1,89,france,languedoc-roussillon,9.25
Bodegas Pedro Escudero,2021,8145514,Finca Valdelagunde Sauvignon Blanc 2021,4.1,39,spain,rueda,9.25
Paul Mas,2020,24045,Viognier 2020,3.7,26,france,languedoc-roussillon,9.25
Les Jamelles,2020,10552,Viognier 2020,3.7,207,france,vin-de-pays-doc,9.25
Kaiken,2018,8357155,Estate Cabernet Sauvignon 2018,3.6,966,argentina,mendoza,9.25
Calmel & Joseph,2020,1637892,Villa Blanche Syrah 2020,3.8,61,france,vin-de-pays-doc,9.25
Azul Portugal,2016,1640288,Reserva Douro Tinto 2016,3.9,40,portugal,douro,9.25
d'Arenberg,2017,1126874,The Stump Jump Shiraz 2017,3.4,911,australia,mclaren-vale,9.25
Montes,2020,1149590,Reserva Sauvignon Blanc (Classic) 2020,3.6,302,chile,curico-valley,9.25
Montespina,2021,2482875,Verdejo 2021,3.7,118,spain,rueda,9.25
Salentein,2019,1253408,Portillo Pinot Noir 2019,3.6,1564,argentina,valle-de-uco,9.25
Epicuro,2020,1246167,Primitivo 2020,3.8,271,italy,puglia,9.25
Cuatro Pasos,2020,1258529,Pizarras de Otero Mencia 2020,3.8,226,spain,bierzo,9.25
Cecchi,2017,1920452,Chianti Riserva 2017,3.8,161,italy,chianti,9.27
Babylon's Peak,2021,6675469,Busy Bee Red Blend 2021,3.6,31,south-africa,swartland,9.3
MAN,2019,1844272,Pinotage (Bosstok) 2019,3.5,184,south-africa,coastal-region,9.3
Cantine due Palme,2020,1946584,Don Cosimo Primitivo 2020,3.7,83,italy,lecce,9.3
Olivares,2021,2263226,Rosado 2021,3.6,36,spain,jumilla,9.3
Cantine Birgi,2020,5320333,Trisole Nerello Mascalese 2020,3.5,55,italy,sicily,9.3
MAN,2020,1844272,Pinotage (Bosstok) 2020,3.6,92,south-africa,coastal-region,9.3
Babylon's Peak,2021,6262153,Busy Bee Chenin Blanc - Roussanne 2021,3.8,69,south-africa,swartland,9.3
Cantine Birgi,2020,9417585,Trisole Nero d'Avola 2020,3.8,97,italy,sicilia,9.3
Cecchi,2021,12128,La Mora Morellino di Scansano 2021,3.7,126,italy,morellino-di-scansano,9.3
Villa des Anges,2020,7249882,Réserve 2020,4.1,468,france,languedoc-roussillon,9.3
Villiera,2019,1376432,Down to Earth White (Sauvignon Blanc - Sémillon) 2019,3.7,45,south-africa,stellenbosch,9.31
Venta La Vega - Bodegas Almanseñas,2021,7377040,Adaras Lluvia 2021,4.0,42,spain,castilla-la-mancha,9.33
Poderi dal Nespoli,2020,4437192,Campodora Romagna Albana Secco 2020,3.6,36,italy,romagna,9.35
Château de Millet,2020,1561954,Gros Manseng Moelleux 2020,4.1,32,france,cotes-de-gascogne,9.35
Poderi dal Nespoli,2019,1176528,Nespolino Sangiovese 2019,3.6,209,italy,rubicone,9.35
Poderi dal Nespoli,2020,1830352,Pagadebit di Romagna 2020,3.7,63,italy,romagna,9.35
Anselmo Mendes,2021,1246384,Muros Antigos Escolha 2021,3.9,148,portugal,vinho-verde,9.35
Vignobles Meyre,2016,1363376,Château les Hauts de Veyrin Listrac-Médoc 2016,3.3,25,france,listrac,9.37
Montemercurio,2014,1365609,Tedicciolo 2014,3.8,67,italy,tuscany,9.37
Cecchi,2018,4809734,La Mora Maremma Toscana Rosso 2018,3.7,171,italy,maremma-toscana,9.37
Marotti Campi,2021,1292711,Rubico Lacrima di Morro d’Alba 2021,3.8,26,italy,lacrima-di-morro-dalba,9.37
Notte Rossa,2019,8995933,Aglianico 2019,3.8,25,italy,lecce,9.4
Casalforte,N.V.,1973260,Prosecco Extra Dry N.V.,3.4,4564,italy,prosecco,9.4
Kaiken,2020,9355003,Estate Chardonnay 2020,3.6,177,argentina,mendoza,9.4
Guerrieri Rizzardi,2021,8414345,Keya Rosé 2021,4.0,48,italy,bardolino-classico,9.4
Cielo e Terra,2021,7247915,3 Passo Bianco 2021,3.9,54,italy,vino-da-tavola,9.4
Cantine Paradiso,2019,1243188,Posta Piana Primitivo 2019,4.1,697,italy,puglia,9.4
Paul Mas,2019,1230607,Cha Cha-Cha Chardonnay 2019,3.7,68,france,vin-de-pays-doc,9.4
d'Arenberg,2019,1224439,The Stump Jump White Blend 2019,3.9,91,australia,mclaren-vale,9.4
Doppio Passo,2021,1665268,Primitivo Rosato 2021,4.1,1425,italy,puglia,9.4
Doppio Passo,2021,7275007,Grillo 2021,3.6,266,italy,sicilia,9.4
Barista,2021,2724407,Chardonnay 2021,3.9,247,south-africa,western-cape,9.4
Masottina,N.V.,1168470,Prosecco Extra Dry N.V.,3.8,1157,italy,prosecco,9.44
Banfi,2019,22910,Centine Rosso 2019,3.7,892,italy,tuscany,9.44
Cottas,2018,4402317,Branco 2018,3.6,28,portugal,douro,9.45
Domaine de la Baume,2017,5358460,Cabernet Sauvignon 2017,3.7,114,france,languedoc,9.45
Varvaglione,2021,2612292,12 e Mezzo Malvasia del Salento 2021,3.8,26,italy,lecce,9.45
Domaine de la Baume,2020,84394,Syrah La Jeunesse 2020,3.8,267,france,languedoc-roussillon,9.45
Varvaglione,2020,2612292,12 e Mezzo Malvasia del Salento 2020,3.7,177,italy,lecce,9.45
Bodegas Valdemar,2020,1815410,Conde de Valdemar Rosado 2020,3.5,70,spain,rioja,9.45
Ziobaffa,2019,2694831,Toscana 2019,4.0,203,italy,tuscany,9.45
Salentein,2020,1977856,Portillo Sauvignon Blanc 2020,3.7,541,argentina,valle-de-uco,9.45
19 Crimes,2020,8206102,Chard 2020,3.8,1109,australia,south-eastern,9.45
Misty Cove,2021,2123384,Estate Series Sauvignon Blanc 2021,4.2,836,new-zealand,marlborough,9.45
Domaine de la Baume,2020,1207814,Chardonnay Les Vignes de Madame 2020,3.7,299,france,languedoc-roussillon,9.45
Cottas,2018,1394472,Tinto 2018,3.6,86,portugal,douro,9.45
Warwick,2018,1204355,The First Lady Cabernet Sauvignon 2018,3.7,592,south-africa,stellenbosch,9.45
Bodegas Valdemar,2021,1815410,Conde de Valdemar Rosado 2021,3.4,34,spain,rioja,9.45
Scavi & Ray,N.V.,1167180,Prosecco Frizzante N.V.,3.4,1656,italy,prosecco,9.45
Dark Horse,2018,4263387,Rosé 2018,3.4,871,united-states,california,9.45
Parés Baltà,2021,13480,Penedès Parellada - Xarel-lo - Macabeo Blanc De Pacs 2021,3.8,49,spain,penedes,9.45
Naia,2021,1160155,K-Naia 2021,3.8,313,spain,rueda,9.45
Fatascia,2020,1161895,Nero d'Avola 2020,3.8,147,italy,sicily,9.45
Marchese de Petri,2020,5209556,Villa Luisa  Montepulciano d'Abruzzo 2020,3.4,27,italy,montepulciano-dabruzzo,9.45
Marchese de Petri,2021,1443268,Villa Luisa Pinot Grigio 2021,3.5,50,italy,della-venezie,9.45
Marchese de Petri,2021,1309915,Villa Luisa Primitivo 2021,3.6,44,italy,puglia,9.45
Dark Horse,2019,1273892,Chardonnay 2019,3.5,1407,united-states,california,9.45
Varvaglione,2020,1454761,12 e Mezzo Primitivo del Salento 2020,3.9,669,italy,lecce,9.45
Langmeil,2018,1692047,Spring Fever Chardonnay 2018,3.8,87,australia,barossa,9.45
Domaine de la Baume,2019,84395,Merlot Grand Châtaignier 2019,3.7,298,france,languedoc-roussillon,9.45
Tornai,2020,1865314,Zenit 2020,3.6,38,hungary,soml,9.45
Cantine Paradiso,2019,8371609,Posta Piana Fiano - Greco 2019,3.5,27,italy,puglia,9.45
Domaine de la Baume,2020,1202127,Cabernet Sauvignon Les Thermes 2020,3.8,295,france,languedoc-roussillon,9.45
Varvaglione,2019,1432306,12 e Mezzo Negroamaro del Salento 2019,3.8,298,italy,lecce,9.45
Banfi,2020,22914,Le Rime (Pinot Grigio - Chardonnay) 2020,3.8,556,italy,tuscany,9.45
Corette,2019,1146291,Cabernet Sauvignon 2019,3.6,27,france,vin-de-pays-doc,9.45
Salentein,2019,1176148,Portillo Merlot 2019,3.5,452,argentina,valle-de-uco,9.45
Salentein,2019,1163679,Portillo Chardonnay 2019,3.5,454,argentina,valle-de-uco,9.45
Dark Horse,2018,3242596,Sauvignon Blanc 2018,3.6,865,united-states,california,9.45
Montes,2019,1165612,Reserva Malbec 2019,3.7,403,chile,colchagua-valley,9.45
Dark Horse,2018,2457025,Cabernet Sauvignon 2018,3.7,3988,united-states,california,9.45
Jean-Luc Colombo,2020,1124302,Côtes du Rhône Les Abeilles de Colombo Blanc 2020,3.4,27,france,cotes-de-rhone-villages,9.45
Josselin,2020,2062426,Chardonnay - Terret 2020,3.9,55,france,vin-de-pays-doc,9.45
Coutada Velha,2021,6396432,Branco 2021,4.1,275,portugal,alentejano,9.45
Langmeil,2019,1692047,Spring Fever Chardonnay 2019,3.6,54,australia,barossa,9.45
Ziobaffa,2021,4212639,Pinot Grigio 2021,3.8,81,italy,sicily,9.45
Bodegas Valdemar,2021,15491,Conde de Valdemar Blanco 2021,3.7,30,spain,rioja,9.45
Mezzacorona,2020,1441956,Castel Firmian Lagrein Trentino 2020,4.0,47,italy,trentino,9.46
Quinta das Setencostas,2018,1182922,Tinto 2018,3.8,312,portugal,alenquer,9.48
Casa Santos Lima,2017,5232081,Dalamquer Alenquer Tinto 2017,3.8,31,portugal,alenquer,9.48
Cabriz,2020,1148721,Dão Colheita Seleccionada White 2020,3.7,1312,portugal,dao,9.48
Cabriz,2021,1148721,Dão Colheita Seleccionada White 2021,3.8,179,portugal,dao,9.48
Gaía,2019,82640,Nótios Red 2019,3.5,26,greece,peloponnisos,9.49
Gaía,2020,1770872,Notios White 2020,3.8,163,greece,peloponnisos,9.49
Carmen,2019,4255257,Premier 1850 Reserva Carmenère 2019,3.8,287,chile,colchagua-valley,9.49
Familia Conesa,2018,4713508,La Doncella de las Viñas Tempranillo 2018,3.6,67,spain,guijoso,9.49
Quinta do Carmo,2018,6039933,Dom Martinho Branco 2018,3.5,50,portugal,alentejano,9.5
Warwick,2016,1204355,The First Lady Cabernet Sauvignon 2016,3.6,1367,south-africa,stellenbosch,9.5
